Professor	Description	Specializations	FOMO filter: Priority
Adriana Janette Umaña-Taylor	Adriana Umaña-Taylor is a professor of education in the Harvard Graduate School of Education. Her research; guided by developmental and socio-cultural ecological frameworks; focuses on understanding how individual and contextual factors interact to inform adolescents' development and adjustment.	Achievement Issues	medium
Alexis Redding	Alexis Redding is an expert on the college experience and student development. Her research focuses on the transition to college and examines how students navigate the undergraduate years.	Achievement Issues	medium
Charles V. Willie	Charles Vert Willie is the Charles William Eliot Professor of Education; Emeritus. He is a sociologist whose areas of research include desegregation; higher education; public health; race relations; urban community problems; and family life.	Achievement Issues	medium
Daniel Koretz	Daniel Koretz is an expert on educational assessment and testing policy. A primary focus of his work has been the impact of high-stakes testing.	Achievement Issues	medium
Eleanor R. Duckworth	A former student and translator of Jean Piaget; Eleanor Duckworth grounds her work in Piaget and Inhelder's insights into the nature and development of understanding and in their research method; which she has developed as a teaching/research approach; Critical Exploration in the Classroom.	Achievement Issues	medium
Heather C. Hill	Heather C. Hill studies policies and programs designed to improve mathematics teacher and teaching quality.	Achievement Issues	medium
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Achievement Issues	medium
Robert S. Peterkin	Prior to HGSE; Robert Peterkin held school superintendencies in Cambridge; Massachusetts; and Milwaukee; Wisconsin; and enjoyed a long career in educational leadership; from special education teacher to deputy superintendent; mainly with the Boston Public Schools.	Achievement Issues	medium
Adriana Janette Umaña-Taylor	Adriana Umaña-Taylor is a professor of education in the Harvard Graduate School of Education. Her research; guided by developmental and socio-cultural ecological frameworks; focuses on understanding how individual and contextual factors interact to inform adolescents' development and adjustment.	Adolescence	low
Alexis Redding	Alexis Redding is an expert on the college experience and student development. Her research focuses on the transition to college and examines how students navigate the undergraduate years.	Adolescence	low
Gretchen Brion-Meisels	Gretchen Brion-Meisels is a lecturer in the Prevention Science and Practice Program. Her research seeks to explore partnerships between youth and adults that support both individual and collective development.	Adolescence	low
Jon R. Star	Jon Star is an educational psychologist who studies children's learning of mathematics in middle and high school; particularly algebra.	Adolescence	low
Josephine M. Kim	Josephine Kim is a lecturer on education at the Harvard Graduate School of Education. She is the former faculty director of the Office of Diversity and Inclusion at Harvard School of Dental Medicine where she launched award-winning K-16 pipeline programs.	Adolescence	low
Mandy Savitz-Romer	Mandy Savitz-Romer's professional experience has allowed her to link research to practice in the field of school counseling; specifically as it relates to college access and retention for urban students.	Adolescence	low
Nancy E. Hill	Nancy Hill is a developmental psychologist whose research focuses on parenting and adolescent development.	Adolescence	low
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Adolescence	low
Robert L. Selman	Robert Selman served as chair of the Human Development and Psychology area from 2000 to 2004. He is the founder within this area of the Prevention Science and Practice Program in 1992 and served as its first director through 1999.	Adolescence	low
William R. Beardslee	William R. Beardslee is the academic chairman of the Department of Psychiatry at Childrens Hospital in Boston; and the Gardner Monks Professor of Child Psychiatry at Harvard Medical School. He trained in general psychiatry at Massachusetts General Hospital and in child psychiatry and psychiatric research at Childrens Hospital.	Adolescence	low
Kurt Fischer	Kurt Fischer studies cognitive and emotional development and learning from birth through adulthood; combining analysis of the commonalities across people with the diversity of pathways of learning and development.	Adult Development	high
Matthew L. Miller	Matt Miller is a senior lecturer on education and associate dean for Learning and Teaching at the Harvard Graduate School of Education; where he has taught since 2006.	Adult Development	high
Metta Karuna McGarvey	Metta McGarvey is an adjunct lecturer on education and the faculty chair of Mindfulness for Educators for Programs in Professional Education.	Adult Development	high
Nadine Gaab	Nadine Gaab is an associate professor of Education. She received a Ph.D. in Psychology from the University of Zürich in Switzerland and did postdoctoral training at Stanford University and MIT.	Adult Development	high
Robert Kegan	Robert Kegan is a psychologist who teaches; researches; writes; and consults about adult development; adult learning; and professional development.	Adult Development	high
Sara Lawrence-Lightfoot	Sara Lawrence-Lightfoot; a sociologist; examines the culture of schools; the broad ecology of education; and the relationship between human development and social change.	Adult Development	high
